,candidate_id,name,state,party,office,candidate_status,district,election_year,incumbent_challenge_full,has_raised_funds,amount_raised,amount_spent,cash_on_hand_end_period,debts_owed_by_committee,coverage_end_date,is_election,federal_funds_flag
75,H0GA07216,"EAVES, JOHN H DR.",GA,DEMOCRATE,House,present-candidate,07,2020,Open seat,True,145468.39,102733.06,54851.27,4205.0,2020-05-20,True,False
76,H0NY13124,"KEITH, JAMES FELTON",NY,DEMOCRATE,House,present-candidate,13,2020,Challenger,True,101779.54,100590.65,1188.89,52000.0,2020-06-30,True,False
77,H0NC07157,"(TERRI) EVERETT, THERESA",NC,DEMOCRATE,House,not-yet-a-candidate,07,2020,,False,0.0,0.0,0.0,0.0,,True,False
78,P00016261,"BONHAM, JEREMY SCOTT",US,INDEPENDENCE PARTY,President,not-yet-a-candidate,00,2020,Challenger,False,0.0,0.0,0.0,0.0,,True,False
79,H0CA20122,"GORMAN, JEFF",CA,REPUBLICAN,House,present-candidate,20,2020,Challenger,True,47657.4,42545.62,5111.78,3000.0,2020-06-30,True,False
80,P60016920,"PRAG, CHOMI",US,NONE,President,not-yet-a-candidate,00,2020,Challenger,False,0.0,0.0,0.0,0.0,2020-06-30,True,False
81,H0WV03151,"TURNER, HILARY",WV,DEMOCRATE,House,present-candidate,03,2020,Challenger,True,20623.64,16552.44,4071.2,1083.03,2020-06-30,True,False
82,H0IN03255,"KALONJI, JEAN-PAUL",IN,DEMOCRATE,House,not-yet-a-candidate,03,2020,Challenger,False,0.0,0.0,0.0,0.0,,True,False
83,H0OK05312,"PRINGLE, CHARLES TUFFY",OK,REPUBLICAN,House,not-yet-a-candidate,,2020,,False,0.0,0.0,0.0,0.0,,True,False
84,H0NE03241,"MORAN, JUSTIN",NE,REPUBLICAN,House,not-yet-a-candidate,03,2020,Challenger,False,0.0,0.0,0.0,0.0,,True,False
85,S0TN00201,"BUSH, BYRON",TN,REPUBLICAN,Senate,present-candidate,00,2020,Open seat,True,440634.06,379283.56,61350.5,393000.0,2020-07-17,True,False
86,H0NJ04185,"RICHTER, ALTER ELIEZER",NJ,REPUBLICAN,House,not-yet-a-candidate,04,2020,Challenger,False,0.0,0.0,0.0,0.0,,True,False
87,H8AZ04165,"DISANTO, DELINA",AZ,DEMOCRATE,House,present-candidate,04,2020,Challenger,True,33300.85,30334.62,11530.42,34504.93,2020-07-15,True,False
88,S0AR00218,"WHITFIELD, DANIEL ALLEN",AR,INDEPENDENT,Senate,present-candidate,00,2020,Challenger,True,39185.38,20394.01,18791.37,39.84,2020-06-30,True,False
89,S4NH00062,"ALCIERE, TOM",NH,DEMOCRATE,Senate,not-yet-a-candidate,00,2020,Challenger,False,0.0,0.0,0.0,0.0,,True,False
90,P00016840,"EDWARDS, JASON ROMONDO",US,UNAFFILIATED,President,not-yet-a-candidate,00,2020,Challenger,False,0.0,0.0,0.0,0.0,,True,False
91,H2GU00025,"UNDERWOOD, ROBERT ANACLETUS",GU,DEMOCRATE,House,present-candidate,00,2020,Challenger,True,134798.4,84523.55,50274.85,9500.0,2020-08-09,True,False
92,P00013631,"TAYLOR, HORACE DONALD",US,INDEPENDENT,President,present-candidate,00,2020,Challenger,True,551.91,378.16,173.75,9941.72,2020-06-30,True,False
93,S0TX00449,"WARREN, LUKE MR.",TX,WRITE-IN,Senate,not-yet-a-candidate,00,2020,Challenger,False,0.0,0.0,0.0,0.0,,True,False
94,P00016618,"BLAKLEY, RONNIE DARRELL",US,NONE,President,not-yet-a-candidate,00,2020,Challenger,False,0.0,0.0,0.0,0.0,,True,False
95,H0NY22083,"CORNWELL, STEPHEN",NY,REPUBLICAN,House,present-candidate,22,2020,Challenger,True,105561.0,105561.0,0.0,0.0,2020-06-30,True,False
